instanceID,village,respondent_wall_type,items_owned
uuid:cfee6297-2c0e-4f8a-94cc-9aaee0bd64cb,Ruaca,burntbricks,motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone
uuid:3fe626b3-c794-48e1-a80f-5bfe440c507b,Ruaca,muddaub,motorcyle;television;radio;solar_panel;solar_torch;table;mobile_phone
uuid:0670cef6-d233-4852-89d8-36955261b0a3,Ruaca,burntbricks,cow_cart;television;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone
uuid:9a096a12-b335-468c-b3cc-1191180d62de,Ruaca,burntbricks,cow_cart;motorcyle;television;radio;cow_plough;solar_torch;table;mobile_phone
uuid:92613d0d-e7b1-4d62-8ea4-451d7cd0a982,Ruaca,muddaub,mobile_phone
uuid:37577f91-d665-443e-8d70-b914954cef4b,God,sunbricks,radio;solar_panel;solar_torch
uuid:f22831ec-6bc3-4b73-9197-4b01e01abb66,God,burntbricks,cow_cart;cow_plough;solar_torch;mobile_phone
uuid:62f3f7af-f0f3-4f88-b9e0-acf8baa49ae4,Ruaca,burntbricks,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_torch;electricity;table;sofa_set;mobile_phone;fridge
uuid:40aac732-94df-496c-97ba-5b67f59bcc7a,Ruaca,muddaub,bicycle;solar_torch;mobile_phone
uuid:a9d1a013-043b-475d-a71b-77ed80abe970,Ruaca,muddaub,motorcyle;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone
uuid:43ec6132-478c-4f87-878d-fb3c0c4d0c74,Ruaca,burntbricks,car;lorry;motorcyle;radio;sterio;cow_plough;solar_panel;solar_torch;table;sofa_set;mobile_phone;fridge
uuid:64fc743e-8176-40f6-8ae4-36ae97fac1d9,Ruaca,burntbricks,motorcyle;bicycle;radio;sterio;cow_plough;solar_panel;table;mobile_phone
uuid:c17e374c-280b-4e78-bf21-74a7c1c73492,Ruaca,sunbricks,motorcyle;radio;sterio;cow_plough;solar_panel;table;mobile_phone
uuid:dad53aff-b520-4015-a9e3-f5fdf9168fe1,Ruaca,burntbricks,radio;cow_plough;solar_panel;solar_torch;mobile_phone
uuid:f94409a6-e461-4e4c-a6fb-0072d3d58b00,Chirodzo,burntbricks,bicycle;television;radio;sterio;solar_panel;solar_torch;table;mobile_phone
uuid:69caea81-a4e5-4e8d-83cd-9c18d8e8d965,Ruaca,burntbricks,motorcyle;radio;solar_panel
uuid:5ccc2e5a-ea90-48b5-8542-69400d5334df,Ruaca,cement,car;lorry;television;radio;sterio;cow_plough;solar_torch;electricity;table;sofa_set;mobile_phone;fridge
uuid:95c11a30-d44f-40c4-8ea8-ec34fca6bbbf,Ruaca,muddaub,radio;solar_panel;solar_torch;mobile_phone
uuid:ffc83162-ff24-4a87-8709-eff17abc0b3b,Chirodzo,burntbricks,cow_cart;lorry;motorcyle;computer;television;radio;sterio;cow_plough;solar_panel;solar_torch;electricity;mobile_phone
uuid:aa77a0d7-7142-41c8-b494-483a5b68d8a7,Chirodzo,burntbricks,radio;cow_plough;solar_panel;solar_torch;table;mobile_phone
